# Bidoup Nui Ba National Park, Vietnam 750 Year PDSI Reconstruction
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/21930 
#       Description: 
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/asia/vietnam/bidoup-nui-ba2010pdsi.txt
#       Description:
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
#
# Dataset DOI: 
#
# Parameter_Keywords: precipitation
#--------------------
# Contribution_Date
#	Date: 2017-04-13
#--------------------
# File_Last_Modified_Date
#	Date: 2017-04-13
#--------------------
# Title
#	Study_Name: Bidoup Nui Ba National Park, Vietnam 750 Year PDSI Reconstruction
#--------------------
# Investigators
#	Investigators: Buckley, B.M.; Anchukaitis, K.J.; Penny, D.; Fletcher, R.; Cook, E.R.; Sano, M.; Nam, L.C.; Wichienkeeo, A.; Minh, T.T.; Hong, T.M.
#--------------------
# Description_Notes_and_Keywords
#	Description: Early monsoon season (March to May) Palmer Drought Severity Index (PDSI) reconstruction based on tree-ring data from Bidoup Nui Ba National Park, 
#	Vietnam for the past 750 years. The tree-ring data are archived with the International Tree-Ring Data Bank (ITRDB): https://www.ncdc.noaa.gov/paleo/study/10453 
#--------------------
# Publication 
#	Authors: Brendan M. Buckley, Kevin J. Anchukaitis, Daniel Penny, Roland Fletcher, Edward R. Cook, Masaki Sano, Le Canh Nam, Aroonrut Wichienkeeo, Ton That Minh, and Truong Mai Hong 
#	Published_Date_or_Year: 2010-04-13      
#	Published_Title: Climate as a contributing factor in the demise of Angkor, Cambodia
#	Journal_Name: Proceedings of the National Academy of Sciences of the United States of America 
#	Volume: 107
#	Edition: 
#	Issue: 15
#	Pages: 6748-6752
#	Report_Number: 
#	DOI: 10.1073/pnas.0910827107
#	Online_Resource: http://www.pnas.org/content/107/15/6748.abstract
#	Full_Citation: 
#	Abstract: The "hydraulic city" of Angkor, the capitol of the Khmer Empire in Cambodia, experienced decades-long drought interspersed with intense monsoons in the fourteenth and fifteenth centuries that, in combination with other factors, contributed to its eventual demise. The climatic evidence comes from a seven-and-a-half century robust hydroclimate reconstruction from tropical southern Vietnamese tree rings. The Angkor droughts were of a duration and severity that would have impacted the sprawling city's water supply and agricultural productivity, while high-magnitude monsoon years damaged its water control infrastructure. Hydroclimate variability for this region is strongly and inversely correlated with tropical Pacific sea surface temperature, indicating that a warm Pacific and El Nino events induce drought at interannual and interdecadal time scales, and that low-frequency variations of tropical Pacific climate can exert significant influence over Southeast Asian climate and society. 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: ATM-04-02474
#------------------
# Site_Information 
#	Site_Name: Bidoup Nui Ba National Park
#	Location: Asia>Southeastern Asia>Vietnam
#	Country: Vietnam
#	Northernmost_Latitude: 11.9667 
# 	Southernmost_Latitude: 11.9667 
# 	Easternmost_Longitude: 108.45 
# 	Westernmost_Longitude: 108.45 
# 	Elevation: 1700 m
#------------------
# Data_Collection   
#	Collection_Name: BidoupNuiBa2010PDSI 
#	Earliest_Year: 1250
#	Most_Recent_Year: 2007
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Species 
#	Species_Name: Fokienia hodginsii 
#	Common_Name: Fujian Cypress
#	Tree_Species_Code: FOHO
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## age_AD	age, , , calendar years before present, , , , ,N,
## pdsi	Palmer Drought Severity Index, , , , March to May, Climate Reconstructions, , ,N, 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age_AD	pdsi
1250	-1.423
1251	-1.530
1252	-0.140
1253	1.947
1254	1.020
1255	0.117
1256	0.713
1257	4.794
1258	6.657
1259	2.717
1260	0.308
1261	-0.098
1262	1.102
1263	1.533
1264	0.746
1265	0.655
1266	0.846
1267	-1.348
1268	0.316
1269	2.634
1270	-0.942
1271	-1.911
1272	-0.355
1273	1.276
1274	3.577
1275	4.240
1276	3.486
1277	3.031
1278	2.841
1279	3.619
1280	3.073
1281	0.208
1282	0.829
1283	3.445
1284	1.930
1285	0.581
1286	0.539
1287	0.821
1288	2.741
1289	2.038
1290	-0.346
1291	-1.000
1292	0.349
1293	0.225
1294	-1.257
1295	-1.497
1296	0.183
1297	0.407
1298	1.392
1299	2.799
1300	0.647
1301	-0.942
1302	-1.009
1303	0.771
1304	-0.495
1305	-2.267
1306	-0.860
1307	1.417
1308	0.564
1309	-3.740
1310	-2.027
1311	0.970
1312	0.564
1313	-1.265
1314	-0.694
1315	2.907
1316	5.158
1317	2.270
1318	-0.719
1319	0.879
1320	-1.497
1321	-0.314
1322	4.198
1323	2.328
1324	0.225
1325	-2.416
1326	-4.841
1327	-4.237
1328	-2.383
1329	-1.166
1330	-0.471
1331	-0.760
1332	-1.075
1333	0.572
1334	2.336
1335	4.745
1336	3.371
1337	-0.479
1338	-4.047
1339	-3.335
1340	-1.216
1341	-2.383
1342	-2.722
1343	-0.429
1344	0.001
1345	-3.351
1346	-4.891
1347	-3.178
1348	-1.845
1349	-0.678
1350	-0.975
1351	-2.284
1352	-1.514
1353	-1.778
1354	-1.936
1355	-2.540
1356	-2.896
1357	-1.812
1358	-1.447
1359	-1.373
1360	-1.985
1361	-3.691
1362	-4.750
1363	-6.174
1364	-3.898
1365	-0.346
1366	-0.247
1367	-2.556
1368	-1.398
1369	0.026
1370	0.332
1371	1.674
1372	0.382
1373	-2.904
1374	-1.953
1375	3.817
1376	4.364
1377	1.326
1378	-0.048
1379	0.887
1380	-1.546
1381	-1.588
1382	3.039
1383	2.766
1384	-0.239
1385	-1.671
1386	-0.496
1387	0.871
1388	0.779
1389	1.334
1390	0.945
1391	-0.628
1392	-1.522
1393	-2.275
1394	-0.852
1395	0.837
1396	0.730
1397	2.054
1398	2.717
1399	1.831
1400	-0.214
1401	-4.196
1402	-6.878
1403	-7.209
1404	-5.380
1405	-0.951
1406	1.135
1407	0.217
1408	-2.871
1409	-1.100
1410	1.847
1411	-1.298
1412	-1.994
1413	0.208
1414	1.193
1415	-0.868
1416	-4.287
1417	-4.254
1418	-2.126
1419	-1.116
1420	-1.456
1421	-0.669
1422	0.051
1423	-2.151
1424	-5.123
1425	-2.656
1426	1.086
1427	-0.818
1428	-0.901
1429	1.160
1430	2.559
1431	1.194
1432	-0.901
1433	0.150
1434	1.185
1435	-1.373
1436	-3.393
1437	-3.012
1438	-2.706
1439	-1.067
1440	-0.115
1441	-1.538
1442	-0.636
1443	0.912
1444	1.500
1445	1.558
1446	-0.851
1447	-1.323
1448	-0.446
1449	0.523
1450	-1.571
1451	-3.699
1452	2.708
1453	6.111
1454	2.054
1455	-0.512
1456	-0.686
1457	-2.432
1458	-0.628
1459	2.344
1460	-0.255
1461	-2.432
1462	-0.322
1463	0.697
1464	1.938
1465	1.814
1466	-2.557
1467	-3.517
1468	-2.648
1469	-0.909
1470	1.094
1471	1.309
1472	-0.644
1473	-3.542
1474	-2.044
1475	-0.255
1476	-0.346
1477	0.672
1478	-1.141
1479	-3.980
1480	-3.294
1481	-1.903
1482	-1.961
1483	-1.671
1484	-2.722
1485	-2.267
1486	0.796
1487	-0.495
1488	-3.848
1489	-1.183
1490	1.996
1491	1.682
1492	-0.926
1493	-0.529
1494	1.914
1495	-0.437
1496	-2.126
1497	-2.275
1498	-1.630
1499	1.160
1500	4.082
1501	2.824
1502	-2.821
1503	-6.480
1504	-5.272
1505	-2.242
1506	-0.140
1507	-0.446
1508	0.001
1509	2.808
1510	-0.081
1511	0.680
1512	3.487
1513	-0.090
1514	-1.514
1515	0.961
1516	1.996
1517	0.854
1518	1.003
1519	-1.199
1520	0.820
1521	3.081
1522	0.515
1523	0.614
1524	1.665
1525	-2.589
1526	-4.519
1527	0.945
1528	-0.114
1529	-2.664
1530	-2.250
