Temple ID,OBJECTID,Date,X,Y,Period,P1,P2,P3,P4,P5,P6,AT,HT,Access1km,Access,Rice,Civic,TV,MV,RV,RE,OM,NM
723,14266,1087.121399,376440.5,1488266,4,,,,1,1,1,531.049678,1.466376903,1,0,2,CC,778.7189821,,2994.367794,,454055.3,27364.96611
525,9414,849.5,388646,1473652,1,1,1,1,1,1,1,7517.413127,1.944942799,1,0,2,CC,14620.93853,140125.2923,52326.03344,,258801.7053,10036.56294
720,14184,1087.121399,376985.6,1488099,4,,,,1,1,1,2213.294616,1.581610681,1,1,2,CC,3500.570405,,2002342.367,,269048.389,8257.4637
1017,26662,975,375736.7,1484405,3,,,1,1,1,1,634.268296,1.473447378,1,1,2,CC,934.5609579,,21807.86671,,176451.9,6629.355355
191,4311,983,370641.8,1490261,3,,,1,1,1,1,10329.01762,2.137537707,1,1,2,,22078.66463,55922.12302,23359.31006,,184601.57,5629.660315
110,2651,1087.121399,367859,1495454,4,,,,1,1,1,5620.32992,1.8149926,0,0,2,,10200.85721,240720.3044,7569.869409,5207.30063,174843.545,5363.398877
211,5003,976.190758,359420.8,1490025,3,,,1,1,1,1,3606.11158,1.677018643,1,1,1,,6047.516349,2017.846305,10190056.34,59039.94062,198992.8805,5315.78288
821,19872,1150,387382.5,1486274,5,,,,,1,1,8126.271796,1.986649618,1,1,2,,16144.05476,21569.56799,104128.8633,3118.990138,251071.8725,4036.062263
22,450,976.190758,359744.2,1507771,3,,,1,1,1,1,1571.985543,1.53768101,0,0,2,,2417.212317,8041.513063,40180.37338,134961.051,139925.9697,4022.694555
831,20916,650,365491.4,1484804,1,1,1,1,1,1,1,1978.219904,1.565508063,0,0,1,,3096.919211,10342.3389,1486.540911,,129517.409,3972.841236
470,8929,930.579267,389259.2,1476721,2,,1,1,1,1,1,675.824504,1.476293979,1,1,1,CC,997.7156458,432.2608416,86434.67524,926986.1265,161779.8526,3699.398297
721,14233,1200.5,374955.6,1489796,6,,,,,,1,6212.822334,1.85557833,1,0,2,,11528.37849,16560.09814,177249.8033,,140886.4974,3536.996745
312,6963,930.579267,351771.2,1501265,2,,1,1,1,1,1,1317.916324,1.520277268,1,1,2,,2003.598229,4479.569485,72616.19046,,107043.595,2997.047422
6092,4803,1132.732889,363288.5,1490756,5,,,,,1,1,1933.160167,1.562421471,1,1,1,,3020.410953,3059.292601,38102.92239,46978.63927,124289.9073,2952.650236
