id,name_english,lustig_site_id,archsite_id,pelle_objectid,Eileen_median_inscription_date(1),certainty,Eileen_median_inscription_date(2),certainty,Eileen_median_inscription_date(3),certainty,Eileen_median_inscription_date(4),certainty,Eileen_median_inscription_date(5),certainty,Eileen_median_inscription_date(6),certainty,Eileen_median_inscription_date(7),certainty,Eileen_median_inscription_date(8),certainty,lintel_median,lintel_date_certainty,Date to use,Rationale,literature,Additional time periods ,,Known dates not used,,,,,,,,,,,,
3,Damnak Sdach,518,63200,27,949.5,Uncertain,,,,,,,,,,,,,,,null,null,949.5,A  ,,,,,,,,,,,,,,,,
61,Wat Thipadei,520,63600,1145,912,Certain,,,,,,,,,,,,,,,975,0,943,C,,,,,,,,,,,,,,,,
63,Preah Enkosei (Pr.),53,54400,1171,975.5,Certain,972.5,Certain,,,,,,,,,,,,,961,1,968,B,"""Wat preah Einkosei is one of the oldest pagodas in Siem Reaap town and was built around a 10th century brick temple. Originally, it was a sanctuary with two enclosures that includes a group of three east-facing brick towers (each with a sandstone door frame), two libraries, an east gate/entrance pavilion, an encircling moat, and a second laterite encloseure"" ( GAP Wat Preah Einkosei preliminary report: 2); lots of occupation post-angkorian period ( GAP Wat Preah Einkosei preliminary report)",,,,,,,,,,,,,,,
92,Phum Khcay,552,65201,1899,1299.5,Uncertain,,,,,,,,,,,,,,,null,null,1299.5,A  ,,,,,,,,,,,,,,,,
112,Kouk Svay Chek,616,200429,2779,1308,Certain,,,,,,,,,,,,,,,null,null,1308,A  ,,,,,,,,,,,,,,,,
156,Samrong,51,61002,3790,1090,Certain,,,,,,,,,,,,,,,null,null,1090,A  ,,,,,,,,,,,,,,,,
173,Kouk Pongrô (Pr.),287,52002,4157,899.5,Uncertain,,,,,,,,,,,,,,,null,null,899.5,A  ,,,,,,,,,,,,,,,,
176,Andaung Kouk Ponlei,null,100131,4173,,,,,,,,,,,,,,,,,790,0,790,A  ,,,,,,,,,,,,,,,,
178,Sralao (Pr.),null,60900,4178,,,,,,,,,,,,,,,,,1071,1,1071,A  ,,,,,,,,,,,,,,,,
186,Kouk Kandal,null,62000,4268,,,,,,,,,,,,,,,,,970,0,970,A  ,,,,,,,,,,,,,,,,
188,Kouk Kuk,null,60600,4285,,,,,,,,,,,,,,,,,980,0,980,A  ,,,,,,,,,,,,,,,,
191,Char (Pr.),50,59800,4311,986.5,Certain,,,,,,,,,,,,,,,980,0,983,B,,,,,,,,,,,,,,,,
257,Kouk Châk (Pr.),502,54401,6137,1075,Uncertain,,,,,,,,,,,,,,,880,0,880,F,,,,,,,,,,,,,,,,
260,He Phka (Pr.),500,54406,6150,956,Uncertain,,,,,,,,,,,,,,,null,null,956,A  ,,,,,,,,,,,,,,,,
262,Trapeang Totung Thngay (Pr.),null,57800,6168,,,,,,,,,,,,,,,,,960,0,960,A  ,,,,,,,,,,,,,,,,
263,Kouk Svay Pream,583,57900,6179,969,Certain,,,,,,,,,,,,,,,870,0,969,F,,,,,,,,,,,,,,,,
264,Kouk Daung,544,58000,6184,1002,Certain,,,,,,,,,,,,,,,null,null,1002,A  ,,,,,,,,,,,,,,,,
265,Trapeang Phong (Pr.),195,58300,6204,983,Certain,,,,,,,,,,,,,,,865,0,983,F,,,,,,,,,,,,,,,,
288,Kouk Neak Ta Trapeang Péa,null,100352,6839,,,,,,,,,,,,,,,,,null,null,1199,F,"guide said that a doorframe we found at the temple is typical J7 style, 1199 is the middle of J7's reign",,,,,,,,,,,,,,,
296,Kouk Ta Ro,null,51300,6890,,,,,,,,,,,,,,,,,960,0,960,A  ,,,,,,,,,,,,,,,,
298,Phnom Bok (Pr.),null,54700,6901,,,,,,,,,,,,,,,,,895,0,895,A  ,"900 (Glazie, The Angkor Guide, page 49)",,,,,,,,,,,,,,,
299,Trapeang Chambâk (Pr.),null,54800,6903,,,,,,,,,,,,,,,,,895,0,895,A  ,,,,,,,,,,,,,,,,
300,Leak Neang (Pr.),658,54900,6908,909,Certain,,,,,,,,,,,,,,,900,0,905,B,,,,,,,,,,,,,,,,
304,Daun So,504,58903,6928,1075,Uncertain,,,,,,,,,,,,,,,null,null,1075,A  ,,,,,,,,,,,,,,,,
307,Kouk Pô (Pr.),586,59700,6944,978,Certain,1050,Certain,,,,,,,,,,,,,1004,1,1004,F,,,,,,,,,,,,,,,,
320,Kouk Neak Ta,338,200218,7078,899.5,Uncertain,,,,,,,,,,,,,,,null,null,899.5,A  ,,,,,,,,,,,,,,,,
335,Phum Prasat,null,56800,7290,,,,,,,,,,,,,,,,,905,0,905,A  ,,,,,,,,,,,,,,,,
338,Phnom Phu (Pr.),null,57100,7388,,,,,,,,,,,,,,,,,915,0,915,A  ,,,,,,,,,,,,,,,,
386,Cedei (Pr.),null,50200,8424,,,,,,,,,,,,,,,,,970,0,970,A  ,,,,,,,,,,,,,,,,
393,Wat Athvea,737,50000,8463,1149.5,Uncertain,,,,,,,,,,,,,,,null,null,1149.5,A  ,,,,,,,,,,,,,,,,
401,Kouk O Chrung,503,54600,8524,1007.5,Certain,,,,,,,,,,,,,,,null,null,1007.5,A  ,,,,,,,,,,,,,,,,
447,Kouk Sla Ket (Pr.),538,51400,8829,956,Uncertain,,,,,,,,,,,,,,,970,0,963,B,,,,,,,,,,,,,,,,
472,Lolei (Pr.),174,58900,8941,889,certain,891,Certain,893,Certain,949.5,certain,,,,,,,,,889,1,893,D,"893 (Glazie, The Angkor Guide, page 49)",,,950,,,,,,,,,,,,
473,Kandol Dom North (Pr.),126,58600,8948,882.5,Uncertain,,,,,,,,,,,,,,,null,null,882.5,A  ,,,,,,,,,,,,,,,,
474,Kandol Dom South (Pr.),741,58700,8954,949.5,Uncertain,,,,,,,,,,,,,,,null,null,949.5,A  ,,,,,,,,,,,,,,,,
475,Olok (Pr.),343,58402,8958,883,Uncertain,,,,,,,,,,,,,,,710,0,710,F,,,,,,,,,,,,,,,,
479,Preah Kô (Pr.),167,58500,8991,889,certain,878,Uncertain,879,Certain,886,Certain,891,Certain,897,Certain,999.5,Uncertain,1005,Certain,879,1,879,F,,,,1001,,,,,,,,,,,,
484,Kouk Thvèng,231,100608,9034,947,Certain,,,,,,,,,,,,,,,null,null,947,A  ,,,,,,,,,,,,,,,,
502,Phnom Krom (Pr.),null,50100,9167,,,,,,,,,,,,,,,,,890,0,890,A  ,"900 (Glazie, The Angkor Guide, page 49)",,,,,,,,,,,,,,,
