Temple ID,name_english,Lustig ID,Archsite ID,Pelle ID,Azimuth,Principle Reservoir,Sandstone,Pink Sandstone,Laterite,Brick,Thmaphnom,other,Morphology,Pedestal,Area,Moat
876,Bay Kaek West (Pr.),0,49300,23533,90.4,0,1,0,1,1,0,0,square,,90.9,0
874,Sok Kraop (Pr.),0,49602,23531,90,0,0,0,1,1,0,0,square,,121.1,0
878,remains of a temple,0,47155,23539,90,0,1,0,1,1,0,0,square,,144.9,0
933,Mangalartha (Pr.),614,48700,24223,90,0,1,0,0,0,0,0,square,,182.5,0
973,sculptures,0,47127,26613,90.7,0,,,,,,,square,,185.5,0
968,terrace,0,47169,26608,89.5,0,,,,,,,square,,205.1,0
965,terrace,0,47133,26605,89.9,0,,,,,,,square,,215.1,0
952,Rong Damrei,0,47125,25407,83.8,0,,,,,,,square,,220.1,0
956,temple remains,0,47158,26593,87.2,0,,,,,,,square,,226.3,0
1015,To Be Determined,0,47102,26660,89.7,1,1,0,0,1,0,0,square,,229.4,0
1069,Dot Sdach Kamlong (Pr.),0,55202,27233,91.2,0,1,0,1,1,0,0,square,,232,0
877,Bay Kaek East (Pr.),0,47106,23534,90,0,1,0,1,1,0,0,square,,241.8,0
940,Terrace I,0,47113,25089,88.9,0,,,,,,,square,,247.2,0
958,Terrace R,0,47142,26595,82.4,0,,,,,,,square,,259.4,0
542,Srah Khhut,0,101002,9670,100.9,1,0,0,1,1,0,0,square,,259.9,0
912,"Preah Pithu, Y",0,48500,23970,82.9,0,1,0,0,0,0,0,square,,264,0
832,Ak Yum (Pr.),122,59202,20989,87.2,0,0,0,0,1,0,0,square,,287.4,0
949,terrace,660,47122,25404,90,0,,,,,,,square,,290.6,0
989,terrace,0,47116,26629,87.7,0,,,,,,,square,,292.3,0
978,terrace,0,47165,26618,90,0,1,0,0,0,0,0,square,,303.6,0
302,Kroes Prei Ten,0,57302,6914,85.5,0,1,0,1,0,0,0,square,,353.6,0
875,Bei (Pr.),0,49400,23532,180,0,0,0,1,1,0,0,square,A2,353.7,0
1618,Neak Pean (Pr.),715,52700,13179,90.6,0,1,0,1,0,0,0,,A4,357.4,0
969,terrace,0,47167,26609,89.3,0,,,,,,,square,,358.6,0
