"id","morph","azimuth","area","trait_1","trait_2","trait_3","trait_4","trait_5","trait_6","trait_7","trait_8","name","date","dating_notes","xlong","ylat","date_type","xeast","ynorth","date_emp"
876,"square",90.424247,90.860298,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Unknown",995,"Date derived from art historical analyses of lintels (Polkinghorne 2007).",103.85821,13.42621,"empirical",376391.1,1484555,995
874,"square",90,121.102386,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Sâk Krâop (Pr.)",889,"Temple is included in CCC in Period 2.",NA,NA,"empirical",376029.9,1484559,889
878,"square",90,144.909427,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Tuol",889,"Temple is included in CCC in Period 2.",NA,NA,"empirical",376568.1,1484474,889
933,"square",90,182.45828,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Top (Pr.)",1115,"Temple is included in the CCC",NA,NA,"empirical",377453.2,1486464,1115
973,"square",90.658658,185.512325,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Angkor Thom (Laterite slabs and sculpture debris)",1002,"Temple is included in the CCC during Period 3.",NA,NA,"empirical",377851.6,1486810,1002
968,"square",89.537526,205.148656,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Angkor Thom (terrace)",1115,"Temple is included in the CCC for Period 4.",NA,NA,"empirical",377220.5,1487538,1115
965,"square",89.913561,215.093119,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Angkor Thom (Terrace)",926,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.86537,13.44916,"graphbased",377181,1487114,NA
952,"square",83.827621,220.136723,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Angkor Thom (Groupe de terraces) - Rông Damrei",1115,"Temple is included in the CCC for Period 4.",NA,NA,"empirical",377328.8,1486122,1115
956,"square",87.164137,226.298536,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Angkor Thom (Remains of a prasat)",926,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.84609,13.45018,"graphbased",375082.2,1487158,NA
1015,"square",89.729779,229.44863,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Unknown",958,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.85908,13.42129,"graphbased",376487.6,1484022,NA
